iter	Passed	Remaining
935	43739	12850
936	43831	12817
937	43922	12783
938	43981	12740
939	44072	12706
940	44163	12671
941	44204	12623
942	44300	12590
943	44388	12554
944	44478	12519
945	44522	12471
946	44549	12419
947	44624	12379
948	44653	12327
949	44683	12276
950	44711	12224
951	44739	12171
952	44794	12126
953	44839	12079
954	44868	12027
955	44921	11982
956	44958	11932
957	44986	11880
958	45013	11828
959	45040	11776
960	45068	11724
961	45096	11672
962	45176	11634
963	45205	11582
964	45257	11537
965	45284	11485
966	45333	11438
967	45363	11387
968	45391	11336
969	45418	11284
970	45446	11232
971	45476	11181
972	45503	11130
973	45530	11078
974	45557	11027
975	45585	10976
976	45614	10925
977	45641	10873
978	45671	10823
979	45698	10771
980	45767	10730
981	45794	10679
982	45824	10628
983	45874	10582
984	45957	10544
985	45986	10493
986	46033	10447
987	46062	10396
988	46100	10348
989	46127	10297
990	46155	10246
991	46229	10205
992	46259	10155
993	46287	10105
994	46314	10054
995	46341	10003
996	46369	9952
997	46395	9901
998	46424	9851
999	46450	9800
1000	46491	9753
1001	46518	9702
1002	46548	9653
1003	46578	9603
1004	46606	9553
1005	46633	9502
1006	46661	9452
1007	46704	9405
1008	46734	9356
1009	46761	9305
1010	46789	9256
1011	46825	9207
1012	46853	9157
1013	46881	9108
1014	46908	9058
1015	46935	9008
1016	46964	8958
1017	46993	8909
1018	47038	8862
1019	47067	8813
1020	47111	8767
1021	47156	8720
1022	47184	8671
1023	47212	8621
1024	47265	8576
1025	47294	8527
1026	47330	8479
1027	47357	8430
1028	47387	8381
1029	47416	8332
1030	47442	8282
1031	47470	8233
1032	47497	8184
1033	47524	8135
1034	47554	8086
1035	47581	8037
1036	47608	7988
1037	47636	7939
1038	47663	7890
1039	47690	7841
1040	47719	7792
1041	47769	7747
1042	47797	7699
1043	47839	7652
1044	47865	7603
1045	47891	7554
1046	47920	7506
1047	47946	7457
1048	47975	7408
1049	48002	7360
1050	48030	7311
1051	48079	7266
1052	48108	7218
1053	48136	7170
1054	48187	7125
1055	48218	7077
1056	48263	7031
1057	48293	6983
1058	48321	6935
1059	48396	6894
1060	48426	6846
1061	48453	6798
1062	48483	6750
1063	48524	6703
1064	48554	6656
1065	48581	6608
1066	48609	6560
1067	48634	6511
1068	48662	6464
1069	48689	6416
1070	48717	6368
1071	48752	6321
1072	48781	6273
1073	48811	6226
1074	48859	6181
1075	48887	6133
1076	48916	6086
1077	48941	6038
1078	48969	5990
1079	48998	5943
1080	49029	5896
1081	49056	5848
1082	49135	5807
1083	49163	5759
1084	49240	5718
1085	49270	5671
1086	49296	5623
1087	49323	5576
1088	49401	5534
1089	49452	5489
1090	49479	5442
1091	49508	5395
1092	49536	5347
1093	49562	5300
1094	49589	5253
1095	49616	5206
1096	49644	5159
1097	49685	5113
1098	49714	5066
1099	49741	5019
1100	49771	4972
1101	49795	4925
1102	49827	4878
1103	49858	4832
1104	49888	4785
1105	49933	4740
1106	49981	4695
1107	50018	4649
1108	50046	4602
1109	50076	4556
1110	50105	4509
1111	50133	4463
1112	50161	4416
1113	50191	4370
1114	50272	4328
1115	50300	4281
1116	50328	4235
1117	50355	4188
1118	50383	4142
1119	50415	4096
1120	50456	4050
1121	50504	4006
1122	50553	3961
1123	50583	3915
1124	50613	3869
1125	50641	3822
1126	50690	3778
1127	50717	3731
1128	50743	3685
1129	50770	3639
1130	50842	3596
1131	50891	3551
1132	50919	3505
1133	50946	3459
1134	50973	3413
1135	51005	3367
1136	51030	3321
1137	51058	3275
1138	51086	3229
1139	51112	3183
1140	51141	3137
1141	51191	3092
1142	51233	3047
1143	51263	3002
1144	51293	2956
1145	51320	2910
1146	51347	2865
1147	51393	2820
1148	51442	2775
1149	51469	2730
1150	51497	2684
1151	51527	2638
1152	51554	2593
1153	51580	2547
1154	51659	2504
1155	51730	2461
1156	51759	2415
1157	51809	2371
1158	51854	2326
1159	51882	2281
1160	51910	2235
1161	51936	2190
1162	51983	2145
1163	52011	2100
1164	52056	2055
1165	52086	2010
1166	52162	1966
1167	52240	1923
1168	52269	1877
1169	52298	1832
1170	52327	1787
1171	52354	1742
1172	52382	1696
1173	52408	1651
1174	52436	1606
1175	52463	1561
1176	52489	1516
1177	52537	1471
1178	52566	1426
1179	52616	1382
1180	52643	1337
1181	52669	1292
1182	52716	1247
1183	52803	1204
1184	52857	1159
1185	52938	1115
1186	52966	1070
1187	53015	1026
1188	53043	981
1189	53070	936
1190	53097	891
1191	53124	846
1192	53153	801
1193	53181	757
1194	53210	712
1195	53252	667
1196	53280	623
1197	53308	578
1198	53338	533
1199	53365	489
1200	53414	444
1201	53443	400
1202	53476	355
1203	53513	311
1204	53540	266
1205	53568	222
1206	53595	177
1207	53624	133
1208	53670	88
1209	53699	44
1210	53727	0
